id,mass,x,y,z,vx,vy,vz
265,2.34094e+18,1.10719,2.41589,-0.0195504,-0.0096165,0.00540208,-0.00254383
266,4.05959e+18,-1.26747,-2.43147,-0.774742,0.00855225,-0.00599739,0.000189205
267,1.44969e+18,-2.50396,-1.91438,0.563984,0.00426881,-0.00736145,0.00112585
268,1.69182e+18,1.01579,2.29643,0.656946,-0.0106513,0.00254267,0.000381095
269,2.20784e+17,2.24262,-1.1083,-0.579351,0.00678668,0.00837044,0.000444489
270,1.75537e+18,-2.44458,2.70558,0.0364946,-0.00600738,-0.0055765,0.000920464
271,4.04984e+17,1.9065,-1.06264,-0.0880965,0.00606387,0.0105329,0.0021271
272,4.07136e+17,-0.63363,2.61452,-0.230664,-0.0105278,0.000197421,-0.000500969
273,1.64559e+18,-1.559,2.48656,-0.0656724,-0.00839943,-0.00483917,0.000884032
274,1.83985e+18,-0.828679,-3.54285,-0.103967,0.00800127,-0.00170894,-0.000320472
275,6.16853e+17,-0.597507,2.46102,-0.975547,-0.00921336,-0.00326064,0.000760554
276,6.72712e+18,-2.74881,-2.15785,0.446846,0.00524022,-0.00734522,0.00116303
277,6.10625e+17,2.89837,1.80824,0.168547,-0.00472341,0.00772429,0.000487563
278,4.07032e+17,-2.1781,1.21521,0.176821,-0.00817063,-0.0078859,-0.00103371
279,9.0537e+17,1.95752,-1.52297,-0.261543,0.00672876,0.00896425,-7.39372e-05
280,1.45728e+18,1.72177,1.77757,0.209567,-0.00859685,0.00716869,-0.000245347
281,2.45912e+17,0.6748,2.33928,0.102623,-0.0101573,0.00456971,-0.000111204
282,6.03568e+17,2.66561,1.13074,-0.154916,-0.00462612,0.00846312,-0.000593033
283,1.41713e+18,-1.89866,1.44567,-0.120406,-0.00816768,-0.00743666,-0.00225855
284,1.02676e+18,-1.49425,1.9488,0.135736,-0.00877805,-0.00776661,0.000270318
285,6.59408e+18,-3.03142,0.29187,-0.0943408,-0.000863354,-0.00946036,-0.00252048
286,1.81111e+17,2.00852,0.837809,-0.129723,-0.00582634,0.0106357,0.00155944
287,5.24052e+17,-1.15546,-2.41328,0.182044,0.00951721,-0.00361761,0.000719419
288,2.69763e+18,3.17506,0.56203,0.188607,-0.00137814,0.00921113,0.00100868
289,6.59655e+18,2.93496,0.469805,-0.357848,-0.0014642,0.0104166,0.000594377
290,9.83391e+17,3.09187,-1.05909,0.0281382,0.00295504,0.00888527,-0.000258589
291,2.57386e+17,-2.57778,-1.28511,-0.318248,0.00366227,-0.00900287,-0.000291532
